Date,Open,High,Low,Close,Adj Close,Volume
2021-08-11,9.750000,9.750000,9.740000,9.740000,9.740000,25700
2021-08-12,10.710000,10.710000,9.610000,9.700000,9.700000,88400
2021-08-13,9.700000,9.900000,9.630000,9.630000,9.630000,72700
2021-08-16,9.700000,9.700000,9.690000,9.700000,9.700000,10900
2021-08-17,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-08-18,9.763000,9.763000,9.720000,9.720000,9.720000,19000
2021-08-19,9.800000,9.800000,9.800000,9.800000,9.800000,100
2021-08-20,9.840000,9.840000,9.750000,9.750000,9.750000,11300
2021-08-23,9.760000,9.760000,9.750000,9.760000,9.760000,2300
2021-08-24,9.770000,9.770000,9.720000,9.770000,9.770000,299700
2021-08-25,9.770000,9.770000,9.770000,9.770000,9.770000,700
2021-08-26,9.770000,9.830000,9.770000,9.770000,9.770000,122100
2021-08-27,9.799000,9.799000,9.799000,9.799000,9.799000,200
2021-08-30,9.840000,9.840000,9.770000,9.780000,9.780000,9200
2021-08-31,9.770000,9.780000,9.690000,9.780000,9.780000,900
2021-09-01,9.780000,9.800000,9.780000,9.800000,9.800000,6000
2021-09-02,10.050000,10.050000,9.790000,9.800000,9.800000,500
2021-09-03,9.834000,9.940000,9.834000,9.940000,9.940000,300
2021-09-07,9.940000,9.940000,9.940000,9.940000,9.940000,0
2021-09-08,9.940000,9.940000,9.940000,9.940000,9.940000,500
2021-09-09,9.940000,9.940000,9.940000,9.940000,9.940000,0
2021-09-10,9.910000,9.910000,9.887000,9.887000,9.887000,103500
2021-09-13,9.887000,9.887000,9.887000,9.887000,9.887000,0
2021-09-14,9.887000,9.887000,9.887000,9.887000,9.887000,0
2021-09-15,10.090000,10.090000,9.800000,9.875000,9.875000,1400
2021-09-16,9.875000,9.875000,9.875000,9.875000,9.875000,0
2021-09-17,9.800000,9.810000,9.800000,9.800000,9.800000,3800
2021-09-20,9.810000,9.810000,9.800000,9.800000,9.800000,1800
2021-09-21,9.800000,9.800000,9.800000,9.800000,9.800000,0
2021-09-22,9.850000,9.850000,9.850000,9.850000,9.850000,200
2021-09-23,9.850000,9.850000,9.850000,9.850000,9.850000,2300
2021-09-24,9.890000,9.890000,9.850000,9.850000,9.850000,2000
2021-09-27,9.900000,9.900000,9.850000,9.850000,9.850000,20400
2021-09-28,9.900000,9.900000,9.850000,9.850000,9.850000,900
2021-09-29,9.850000,9.850000,9.850000,9.850000,9.850000,2900
